"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","1528-1515-ND","2795","EVAL BRD FEATHER 32U4 ADALOGGER","","1","0","21.95000","21.95"
"2","1","2223-DS04-254-1L-01BK-ND","DS04-254-1L-01BK","DIP SWITCH, SPST, 2.54 PITCH, RA","","1","0","0.48000","0.48"
"3","1","1528-1837-ND","1570","BATTERY LITHIUM 3.7V 100MAH","","1","0","5.95000","5.95"
"4","1","S7049-ND","PPPC161LFBN-RC","CONN HDR 16POS 0.1 GOLD PCB","","1","0","1.02000","1.02"
"5","1","AE10985-ND","A-DS 25 PP/Z","CONN D-SUB PLUG 25POS VERT SLDR","","1","0","1.16000","1.16"
"6","1","1016-1095-5-ND","SP3232EBCN-L","IC TRANSCEIVER FULL 2/2 16SOIC","","1","0","1.23000","1.23"
"7","1","S7045-ND","PPPC121LFBN-RC","CONN HDR 12POS 0.1 GOLD PCB","","1","0","0.81000","0.81"
"8","1","2057-PH1RB-02-UA-ND","PH1RB-02-UA","CONN HEADER R/A 2POS 2.54MM","","1","0","0.10000","0.10"
"9","1","S9001-ND","SPC02SYAN","CONN JUMPER SHORTING GOLD FLASH","","1","0","0.10000","0.10"
"10","5","399-9158-1-ND","C0805C104Z3VACTU","CAP CER 0.1UF 25V Y5V 0805","","5","0","0.10000","0.50"
"11","1","A129763CT-ND","CRGCQ0805F15K","CRGCQ 0805 15K 1%","","1","0","0.10000","0.10"
